name,fips,pop,svi
Sierra,6091,2930,0
Placer,6061,380077,0.0175
El Dorado,6017,186661,0.0351
Nevada,6057,99092,0.0526
Mono,6051,14174,0.0702
Marin,6041,260295,0.0877
Calaveras,6009,45235,0.1053
San Mateo,6081,765935,0.1228
Plumas,6063,18699,0.1404
San Luis Obispo,6079,281455,0.1579
Contra Costa,6013,1133247,0.1754
Tuolumne,6109,53932,0.193
Sonoma,6097,501317,0.2105
Santa Clara,6085,1922200,0.2281
Mariposa,6043,17540,0.2456
San Francisco,6075,870044,0.2632
Amador,6005,37829,0.2807
Ventura,6111,848112,0.2982
Orange,6059,3164182,0.3158
Napa,6055,140530,0.3333
San Benito,6069,59416,0.3509
Alameda,6001,1643700,0.3684
Inyo,6027,18085,0.386
Lassen,6035,31185,0.4035
San Diego,6073,3302833,0.4211
Solano,6095,438530,0.4386
Santa Cruz,6087,273765,0.4561
Shasta,6089,179085,0.4737
Trinity,6105,12862,0.4912
Siskiyou,6093,43540,0.5088
Modoc,6049,8938,0.5263
Yolo,6113,214977,0.5439
Sacramento,6067,1510023,0.5614
Alpine,6003,1146,0.5789
Humboldt,6023,135768,0.5965
Butte,6007,227075,0.614
Colusa,6011,21464,0.6316
Riverside,6065,2383286,0.6491
Santa Barbara,6083,443738,0.6667
Glenn,6021,27897,0.6842
Mendocino,6045,87422,0.7018
Lake,6033,64148,0.7193
Monterey,6053,433212,0.7368
Stanislaus,6099,539301,0.7544
Los Angeles,6037,10098052,0.7719
San Joaquin,6077,732212,0.7895
Sutter,6101,95872,0.807
San Bernardino,6071,2135413,0.8246
Yuba,6115,75493,0.8421
Tehama,6103,63373,0.8596
Del Norte,6015,27424,0.8772
Kings,6031,150075,0.8947
Madera,6039,155013,0.9123
Fresno,6019,978130,0.9298
Tulare,6107,460477,0.9474
Kern,6029,883053,0.9649
Merced,6047,269075,0.9825
Imperial,6025,180216,1
