fipdate,date_aw,fips_aw,exposed_aw
60252018-04-06,2018-04-06,6025,1
60252018-04-07,2018-04-07,6025,1
60252018-04-08,2018-04-08,6025,1
60252018-04-09,2018-04-09,6025,1
60252018-04-10,2018-04-10,6025,1
60252018-04-11,2018-04-11,6025,1
60252018-04-12,2018-04-12,6025,1
60252018-04-25,2018-04-25,6025,1
60252018-04-26,2018-04-26,6025,1
60252018-04-27,2018-04-27,6025,1
60252018-04-28,2018-04-28,6025,1
60252018-05-06,2018-05-06,6025,1
60652018-05-06,2018-05-06,6065,1
60712018-05-06,2018-05-06,6071,1
60252018-05-07,2018-05-07,6025,1
60652018-05-07,2018-05-07,6065,1
60712018-05-07,2018-05-07,6071,1
60252018-05-08,2018-05-08,6025,1
60652018-05-08,2018-05-08,6065,1
60712018-05-08,2018-05-08,6071,1
60252018-05-09,2018-05-09,6025,1
60652018-05-09,2018-05-09,6065,1
60712018-05-09,2018-05-09,6071,1
60252018-05-10,2018-05-10,6025,1
60272018-05-10,2018-05-10,6027,1
60652018-05-10,2018-05-10,6065,1
60712018-05-10,2018-05-10,6071,1
60252018-05-11,2018-05-11,6025,1
60652018-05-11,2018-05-11,6065,1
60712018-05-11,2018-05-11,6071,1
60072018-05-29,2018-05-29,6007,1
60112018-05-29,2018-05-29,6011,1
60212018-05-29,2018-05-29,6021,1
60472018-05-29,2018-05-29,6047,1
60672018-05-29,2018-05-29,6067,1
60992018-05-29,2018-05-29,6099,1
61012018-05-29,2018-05-29,6101,1
61032018-05-29,2018-05-29,6103,1
61132018-05-29,2018-05-29,6113,1
61152018-05-29,2018-05-29,6115,1
60072018-05-30,2018-05-30,6007,1
60112018-05-30,2018-05-30,6011,1
60212018-05-30,2018-05-30,6021,1
60292018-05-30,2018-05-30,6029,1
60312018-05-30,2018-05-30,6031,1
60472018-05-30,2018-05-30,6047,1
60672018-05-30,2018-05-30,6067,1
60772018-05-30,2018-05-30,6077,1
60992018-05-30,2018-05-30,6099,1
61012018-05-30,2018-05-30,6101,1
61032018-05-30,2018-05-30,6103,1
61132018-05-30,2018-05-30,6113,1
61152018-05-30,2018-05-30,6115,1
60072018-06-03,2018-06-03,6007,1
60112018-06-03,2018-06-03,6011,1
60212018-06-03,2018-06-03,6021,1
60472018-06-03,2018-06-03,6047,1
60852018-06-03,2018-06-03,6085,1
61012018-06-03,2018-06-03,6101,1
61032018-06-03,2018-06-03,6103,1
61132018-06-03,2018-06-03,6113,1
60072018-06-04,2018-06-04,6007,1
60092018-06-04,2018-06-04,6009,1
60112018-06-04,2018-06-04,6011,1
60212018-06-04,2018-06-04,6021,1
60292018-06-04,2018-06-04,6029,1
60312018-06-04,2018-06-04,6031,1
60472018-06-04,2018-06-04,6047,1
60552018-06-04,2018-06-04,6055,1
60652018-06-04,2018-06-04,6065,1
60672018-06-04,2018-06-04,6067,1
60692018-06-04,2018-06-04,6069,1
60712018-06-04,2018-06-04,6071,1
60772018-06-04,2018-06-04,6077,1
60852018-06-04,2018-06-04,6085,1
60952018-06-04,2018-06-04,6095,1
60992018-06-04,2018-06-04,6099,1
61012018-06-04,2018-06-04,6101,1
61032018-06-04,2018-06-04,6103,1
61132018-06-04,2018-06-04,6113,1
61152018-06-04,2018-06-04,6115,1
60292018-06-05,2018-06-05,6029,1
60312018-06-05,2018-06-05,6031,1
60712018-06-05,2018-06-05,6071,1
60072018-06-13,2018-06-13,6007,1
60112018-06-13,2018-06-13,6011,1
60212018-06-13,2018-06-13,6021,1
60252018-06-13,2018-06-13,6025,1
60272018-06-13,2018-06-13,6027,1
60292018-06-13,2018-06-13,6029,1
60372018-06-13,2018-06-13,6037,1
60552018-06-13,2018-06-13,6055,1
60652018-06-13,2018-06-13,6065,1
60692018-06-13,2018-06-13,6069,1
60712018-06-13,2018-06-13,6071,1
60772018-06-13,2018-06-13,6077,1
60952018-06-13,2018-06-13,6095,1
61012018-06-13,2018-06-13,6101,1
61032018-06-13,2018-06-13,6103,1
61132018-06-13,2018-06-13,6113,1
61152018-06-13,2018-06-13,6115,1
60072018-06-14,2018-06-14,6007,1
60092018-06-14,2018-06-14,6009,1
60112018-06-14,2018-06-14,6011,1
60212018-06-14,2018-06-14,6021,1
60252018-06-14,2018-06-14,6025,1
60272018-06-14,2018-06-14,6027,1
60292018-06-14,2018-06-14,6029,1
60312018-06-14,2018-06-14,6031,1
60392018-06-14,2018-06-14,6039,1
60472018-06-14,2018-06-14,6047,1
60652018-06-14,2018-06-14,6065,1
60672018-06-14,2018-06-14,6067,1
60692018-06-14,2018-06-14,6069,1
60712018-06-14,2018-06-14,6071,1
60772018-06-14,2018-06-14,6077,1
60992018-06-14,2018-06-14,6099,1
61012018-06-14,2018-06-14,6101,1
61032018-06-14,2018-06-14,6103,1
61132018-06-14,2018-06-14,6113,1
61152018-06-14,2018-06-14,6115,1
60252018-06-15,2018-06-15,6025,1
60272018-06-15,2018-06-15,6027,1
60292018-06-15,2018-06-15,6029,1
60312018-06-15,2018-06-15,6031,1
60652018-06-15,2018-06-15,6065,1
60712018-06-15,2018-06-15,6071,1
60732018-06-15,2018-06-15,6073,1
60272018-06-21,2018-06-21,6027,1
60712018-06-21,2018-06-21,6071,1
60272018-06-22,2018-06-22,6027,1
60712018-06-22,2018-06-22,6071,1
60072018-06-23,2018-06-23,6007,1
60092018-06-23,2018-06-23,6009,1
60112018-06-23,2018-06-23,6011,1
60132018-06-23,2018-06-23,6013,1
60212018-06-23,2018-06-23,6021,1
60272018-06-23,2018-06-23,6027,1
60292018-06-23,2018-06-23,6029,1
60332018-06-23,2018-06-23,6033,1
60372018-06-23,2018-06-23,6037,1
60552018-06-23,2018-06-23,6055,1
60652018-06-23,2018-06-23,6065,1
60692018-06-23,2018-06-23,6069,1
60712018-06-23,2018-06-23,6071,1
60732018-06-23,2018-06-23,6073,1
60852018-06-23,2018-06-23,6085,1
60892018-06-23,2018-06-23,6089,1
60952018-06-23,2018-06-23,6095,1
60992018-06-23,2018-06-23,6099,1
61012018-06-23,2018-06-23,6101,1
61032018-06-23,2018-06-23,6103,1
61132018-06-23,2018-06-23,6113,1
61152018-06-23,2018-06-23,6115,1
60012018-06-24,2018-06-24,6001,1
60052018-06-24,2018-06-24,6005,1
60072018-06-24,2018-06-24,6007,1
60092018-06-24,2018-06-24,6009,1
60112018-06-24,2018-06-24,6011,1
60132018-06-24,2018-06-24,6013,1
60212018-06-24,2018-06-24,6021,1
60272018-06-24,2018-06-24,6027,1
60292018-06-24,2018-06-24,6029,1
60312018-06-24,2018-06-24,6031,1
60332018-06-24,2018-06-24,6033,1
60392018-06-24,2018-06-24,6039,1
60472018-06-24,2018-06-24,6047,1
60552018-06-24,2018-06-24,6055,1
60672018-06-24,2018-06-24,6067,1
60692018-06-24,2018-06-24,6069,1
60772018-06-24,2018-06-24,6077,1
60852018-06-24,2018-06-24,6085,1
60892018-06-24,2018-06-24,6089,1
60952018-06-24,2018-06-24,6095,1
60972018-06-24,2018-06-24,6097,1
60992018-06-24,2018-06-24,6099,1
61012018-06-24,2018-06-24,6101,1
61032018-06-24,2018-06-24,6103,1
61132018-06-24,2018-06-24,6113,1
61152018-06-24,2018-06-24,6115,1
60072018-06-25,2018-06-25,6007,1
60212018-06-25,2018-06-25,6021,1
60272018-06-25,2018-06-25,6027,1
60392018-06-25,2018-06-25,6039,1
60892018-06-25,2018-06-25,6089,1
61032018-06-25,2018-06-25,6103,1
60272018-06-26,2018-06-26,6027,1
60272018-06-27,2018-06-27,6027,1
60052018-07-01,2018-07-01,6005,1
60072018-07-01,2018-07-01,6007,1
60092018-07-01,2018-07-01,6009,1
60112018-07-01,2018-07-01,6011,1
60132018-07-01,2018-07-01,6013,1
60212018-07-01,2018-07-01,6021,1
60332018-07-01,2018-07-01,6033,1
60552018-07-01,2018-07-01,6055,1
60672018-07-01,2018-07-01,6067,1
60772018-07-01,2018-07-01,6077,1
60852018-07-01,2018-07-01,6085,1
60892018-07-01,2018-07-01,6089,1
60952018-07-01,2018-07-01,6095,1
60992018-07-01,2018-07-01,6099,1
61012018-07-01,2018-07-01,6101,1
61032018-07-01,2018-07-01,6103,1
61132018-07-01,2018-07-01,6113,1
61152018-07-01,2018-07-01,6115,1
60072018-07-02,2018-07-02,6007,1
60112018-07-02,2018-07-02,6011,1
60192018-07-02,2018-07-02,6019,1
60212018-07-02,2018-07-02,6021,1
60332018-07-02,2018-07-02,6033,1
60892018-07-02,2018-07-02,6089,1
61032018-07-02,2018-07-02,6103,1
61072018-07-02,2018-07-02,6107,1
61152018-07-02,2018-07-02,6115,1
61032018-07-03,2018-07-03,6103,1
60592018-07-06,2018-07-06,6059,1
60092018-07-07,2018-07-07,6009,1
60132018-07-07,2018-07-07,6013,1
60192018-07-07,2018-07-07,6019,1
60252018-07-07,2018-07-07,6025,1
60272018-07-07,2018-07-07,6027,1
60372018-07-07,2018-07-07,6037,1
60392018-07-07,2018-07-07,6039,1
60432018-07-07,2018-07-07,6043,1
60472018-07-07,2018-07-07,6047,1
60532018-07-07,2018-07-07,6053,1
60592018-07-07,2018-07-07,6059,1
60652018-07-07,2018-07-07,6065,1
60692018-07-07,2018-07-07,6069,1
60712018-07-07,2018-07-07,6071,1
60732018-07-07,2018-07-07,6073,1
60792018-07-07,2018-07-07,6079,1
60832018-07-07,2018-07-07,6083,1
60852018-07-07,2018-07-07,6085,1
61072018-07-07,2018-07-07,6107,1
61112018-07-07,2018-07-07,6111,1
60052018-07-08,2018-07-08,6005,1
60092018-07-08,2018-07-08,6009,1
60192018-07-08,2018-07-08,6019,1
60252018-07-08,2018-07-08,6025,1
