fipdate,exposed_aw,exposed_po,exposed_wd,date,fips
60012018-06-24,1,0,0,2018-06-24,6001
60012018-08-10,1,0,0,2018-08-10,6001
60012019-06-10,1,0,0,2019-06-10,6001
60012019-06-11,1,0,0,2019-06-11,6001
60012019-06-12,1,0,0,2019-06-12,6001
60012019-07-25,1,0,0,2019-07-25,6001
60012019-07-28,1,0,0,2019-07-28,6001
60012019-07-29,1,0,0,2019-07-29,6001
60012019-08-14,1,0,0,2019-08-14,6001
60012019-08-15,1,0,0,2019-08-15,6001
60012019-08-16,1,0,0,2019-08-16,6001
60012019-08-17,1,0,0,2019-08-17,6001
60012019-08-27,1,0,0,2019-08-27,6001
60012019-09-14,1,0,0,2019-09-14,6001
60012019-09-25,1,0,0,2019-09-25,6001
60012019-09-26,1,0,0,2019-09-26,6001
60052018-06-24,1,0,0,2018-06-24,6005
60052018-07-01,1,0,0,2018-07-01,6005
60052018-07-06,0,0,1,2018-07-06,6005
60052018-07-07,0,0,1,2018-07-07,6005
60052018-07-08,1,0,1,2018-07-08,6005
60052018-07-09,0,0,1,2018-07-09,6005
60052018-07-15,1,0,0,2018-07-15,6005
60052018-07-19,1,0,0,2018-07-19,6005
60052018-07-20,1,0,0,2018-07-20,6005
60052018-07-24,1,0,0,2018-07-24,6005
60052018-07-25,1,0,0,2018-07-25,6005
60052018-07-26,1,0,0,2018-07-26,6005
60052018-07-27,1,0,0,2018-07-27,6005
60052018-07-28,1,0,0,2018-07-28,6005
60052018-07-29,1,0,0,2018-07-29,6005
60052018-08-01,1,0,0,2018-08-01,6005
60052018-08-10,1,0,0,2018-08-10,6005
60052018-08-11,1,0,0,2018-08-11,6005
60052018-08-19,1,0,0,2018-08-19,6005
60052018-08-20,1,0,0,2018-08-20,6005
60052018-09-28,1,0,0,2018-09-28,6005
60052019-06-11,1,0,0,2019-06-11,6005
60052019-06-12,1,0,0,2019-06-12,6005
60052019-06-13,1,0,0,2019-06-13,6005
60052019-06-19,1,0,0,2019-06-19,6005
60052019-07-23,1,0,0,2019-07-23,6005
60052019-07-25,1,0,0,2019-07-25,6005
60052019-07-26,1,0,0,2019-07-26,6005
60052019-07-28,1,0,0,2019-07-28,6005
60052019-07-29,1,0,0,2019-07-29,6005
60052019-08-15,1,0,0,2019-08-15,6005
60052019-08-16,1,0,0,2019-08-16,6005
60052019-08-17,1,0,0,2019-08-17,6005
60052019-08-24,1,0,0,2019-08-24,6005
60052019-08-25,1,0,0,2019-08-25,6005
60052019-08-26,1,0,0,2019-08-26,6005
60052019-08-27,1,0,0,2019-08-27,6005
60052019-08-28,1,0,0,2019-08-28,6005
60052019-09-05,1,0,0,2019-09-05,6005
60052019-09-15,1,0,0,2019-09-15,6005
60052019-09-26,1,0,0,2019-09-26,6005
60072018-05-29,1,0,0,2018-05-29,6007
60072018-05-30,1,0,0,2018-05-30,6007
60072018-06-03,1,0,0,2018-06-03,6007
60072018-06-04,1,0,0,2018-06-04,6007
60072018-06-13,1,0,0,2018-06-13,6007
60072018-06-14,1,0,0,2018-06-14,6007
60072018-06-23,1,0,0,2018-06-23,6007
60072018-06-24,1,0,0,2018-06-24,6007
60072018-06-25,1,0,0,2018-06-25,6007
60072018-07-01,1,0,0,2018-07-01,6007
60072018-07-02,1,0,0,2018-07-02,6007
60072018-07-13,1,0,0,2018-07-13,6007
60072018-07-15,1,0,0,2018-07-15,6007
60072018-07-17,1,0,0,2018-07-17,6007
60072018-07-18,1,0,0,2018-07-18,6007
60072018-07-19,1,0,0,2018-07-19,6007
60072018-07-20,1,0,0,2018-07-20,6007
60072018-07-23,1,0,0,2018-07-23,6007
60072018-07-24,1,0,0,2018-07-24,6007
60072018-07-25,1,0,0,2018-07-25,6007
60072018-07-26,1,0,0,2018-07-26,6007
60072018-07-27,1,0,0,2018-07-27,6007
60072018-07-28,1,0,0,2018-07-28,6007
60072018-07-29,1,0,0,2018-07-29,6007
60072018-07-30,1,0,0,2018-07-30,6007
60072018-07-31,1,0,0,2018-07-31,6007
60072018-08-01,1,0,0,2018-08-01,6007
60072018-08-10,1,0,0,2018-08-10,6007
60072018-08-11,1,0,0,2018-08-11,6007
60072018-08-18,1,0,0,2018-08-18,6007
60072018-08-19,1,0,0,2018-08-19,6007
60072018-08-20,1,0,0,2018-08-20,6007
60072018-09-10,1,0,0,2018-09-10,6007
60072018-09-26,1,0,0,2018-09-26,6007
60072018-09-27,1,0,0,2018-09-27,6007
60072018-09-28,1,0,0,2018-09-28,6007
60072018-11-08,0,0,1,2018-11-08,6007
60072018-11-09,0,0,1,2018-11-09,6007
60072018-11-10,0,0,1,2018-11-10,6007
60072018-11-11,0,0,1,2018-11-11,6007
60072018-11-12,0,0,1,2018-11-12,6007
60072018-11-13,0,0,1,2018-11-13,6007
60072018-11-14,0,0,1,2018-11-14,6007
60072018-11-15,0,0,1,2018-11-15,6007
60072018-11-16,0,0,1,2018-11-16,6007
60072018-11-17,0,0,1,2018-11-17,6007
60072018-11-18,0,0,1,2018-11-18,6007
60072018-11-19,0,0,1,2018-11-19,6007
60072018-11-20,0,0,1,2018-11-20,6007
60072018-11-21,0,0,1,2018-11-21,6007
60072018-11-22,0,0,1,2018-11-22,6007
60072018-11-23,0,0,1,2018-11-23,6007
60072018-11-24,0,0,1,2018-11-24,6007
60072018-11-25,0,0,1,2018-11-25,6007
60072018-11-26,0,0,1,2018-11-26,6007
60072018-11-27,0,0,1,2018-11-27,6007
60072018-11-28,0,0,1,2018-11-28,6007
60072018-11-29,0,0,1,2018-11-29,6007
60072018-11-30,0,0,1,2018-11-30,6007
60072018-12-01,0,0,1,2018-12-01,6007
60072018-12-02,0,0,1,2018-12-02,6007
60072018-12-03,0,0,1,2018-12-03,6007
60072018-12-04,0,0,1,2018-12-04,6007
60072018-12-05,0,0,1,2018-12-05,6007
60072018-12-06,0,0,1,2018-12-06,6007
60072018-12-07,0,0,1,2018-12-07,6007
60072018-12-08,0,0,1,2018-12-08,6007
60072018-12-09,0,0,1,2018-12-09,6007
60072018-12-10,0,0,1,2018-12-10,6007
60072018-12-11,0,0,1,2018-12-11,6007
60072018-12-12,0,0,1,2018-12-12,6007
60072018-12-13,0,0,1,2018-12-13,6007
60072018-12-14,0,0,1,2018-12-14,6007
60072018-12-15,0,0,1,2018-12-15,6007
60072018-12-16,0,0,1,2018-12-16,6007
60072018-12-17,0,0,1,2018-12-17,6007
60072018-12-18,0,0,1,2018-12-18,6007
60072018-12-19,0,0,1,2018-12-19,6007
60072018-12-20,0,0,1,2018-12-20,6007
60072019-01-17,0,1,0,2019-01-17,6007
60072019-02-13,0,1,0,2019-02-13,6007
60072019-02-14,0,1,0,2019-02-14,6007
60072019-02-27,0,1,0,2019-02-27,6007
60072019-02-28,0,1,0,2019-02-28,6007
60072019-03-18,0,1,0,2019-03-18,6007
60072019-03-19,0,1,0,2019-03-19,6007
60072019-06-04,0,1,0,2019-06-04,6007
60072019-06-05,1,1,0,2019-06-05,6007
60072019-06-06,1,0,0,2019-06-06,6007
60072019-06-09,0,1,0,2019-06-09,6007
60072019-06-10,0,1,0,2019-06-10,6007
60072019-06-11,1,0,0,2019-06-11,6007
60072019-06-12,1,0,0,2019-06-12,6007
60072019-06-13,1,0,0,2019-06-13,6007
60072019-06-14,1,0,0,2019-06-14,6007
60072019-06-19,1,0,0,2019-06-19,6007
60072019-06-20,1,0,0,2019-06-20,6007
