fipdate,date_po,fips_po,exposed_po
60072019-01-17,2019-01-17T00:00:00Z,6007,1
60072019-02-13,2019-02-13T00:00:00Z,6007,1
60072019-02-14,2019-02-14T00:00:00Z,6007,1
60072019-02-27,2019-02-27T00:00:00Z,6007,1
60072019-02-28,2019-02-28T00:00:00Z,6007,1
60072019-03-18,2019-03-18T00:00:00Z,6007,1
60072019-03-19,2019-03-19T00:00:00Z,6007,1
60072019-06-04,2019-06-04T00:00:00Z,6007,1
60072019-06-05,2019-06-05T00:00:00Z,6007,1
60072019-06-09,2019-06-09T00:00:00Z,6007,1
60072019-06-10,2019-06-10T00:00:00Z,6007,1
60072019-09-24,2019-09-24T00:00:00Z,6007,1
60072019-09-25,2019-09-25T00:00:00Z,6007,1
60072019-09-26,2019-09-26T00:00:00Z,6007,1
60072019-10-09,2019-10-09T00:00:00Z,6007,1
60072019-10-10,2019-10-10T00:00:00Z,6007,1
60072019-10-11,2019-10-11T00:00:00Z,6007,1
60072019-10-12,2019-10-12T00:00:00Z,6007,1
60072019-10-24,2019-10-24T00:00:00Z,6007,1
60072019-10-25,2019-10-25T00:00:00Z,6007,1
60072019-10-28,2019-10-28T00:00:00Z,6007,1
60072019-10-29,2019-10-29T00:00:00Z,6007,1
60072019-10-30,2019-10-30T00:00:00Z,6007,1
60072019-10-31,2019-10-31T00:00:00Z,6007,1
60072019-11-27,2019-11-27T00:00:00Z,6007,1
60072019-11-28,2019-11-28T00:00:00Z,6007,1
60092018-03-16,2018-03-16T00:00:00Z,6009,1
60092018-03-17,2018-03-17T00:00:00Z,6009,1
60092018-03-18,2018-03-18T00:00:00Z,6009,1
60092018-03-19,2018-03-19T00:00:00Z,6009,1
60092018-10-16,2018-10-16T00:00:00Z,6009,1
60092018-10-17,2018-10-17T00:00:00Z,6009,1
60092019-01-07,2019-01-07T00:00:00Z,6009,1
60092019-01-17,2019-01-17T00:00:00Z,6009,1
60092019-01-18,2019-01-18T00:00:00Z,6009,1
60092019-01-19,2019-01-19T00:00:00Z,6009,1
60092019-02-02,2019-02-02T00:00:00Z,6009,1
60092019-02-03,2019-02-03T00:00:00Z,6009,1
60092019-02-05,2019-02-05T00:00:00Z,6009,1
60092019-02-06,2019-02-06T00:00:00Z,6009,1
60092019-02-07,2019-02-07T00:00:00Z,6009,1
60092019-02-08,2019-02-08T00:00:00Z,6009,1
60092019-02-09,2019-02-09T00:00:00Z,6009,1
60092019-02-10,2019-02-10T00:00:00Z,6009,1
60092019-02-11,2019-02-11T00:00:00Z,6009,1
60092019-02-13,2019-02-13T00:00:00Z,6009,1
60092019-02-14,2019-02-14T00:00:00Z,6009,1
60092019-02-15,2019-02-15T00:00:00Z,6009,1
60092019-02-16,2019-02-16T00:00:00Z,6009,1
60092019-03-03,2019-03-03T00:00:00Z,6009,1
60092019-10-10,2019-10-10T00:00:00Z,6009,1
60092019-10-11,2019-10-11T00:00:00Z,6009,1
60092019-10-12,2019-10-12T00:00:00Z,6009,1
60092019-10-13,2019-10-13T00:00:00Z,6009,1
60092019-10-24,2019-10-24T00:00:00Z,6009,1
60092019-10-25,2019-10-25T00:00:00Z,6009,1
60092019-10-29,2019-10-29T00:00:00Z,6009,1
60092019-10-30,2019-10-30T00:00:00Z,6009,1
60092019-10-31,2019-10-31T00:00:00Z,6009,1
60092019-11-27,2019-11-27T00:00:00Z,6009,1
60092019-11-28,2019-11-28T00:00:00Z,6009,1
60092019-11-29,2019-11-29T00:00:00Z,6009,1
60172018-02-26,2018-02-26T00:00:00Z,6017,1
60172018-02-27,2018-02-27T00:00:00Z,6017,1
60172018-03-03,2018-03-03T00:00:00Z,6017,1
60172018-03-04,2018-03-04T00:00:00Z,6017,1
60172018-03-05,2018-03-05T00:00:00Z,6017,1
60172018-03-16,2018-03-16T00:00:00Z,6017,1
60172018-03-17,2018-03-17T00:00:00Z,6017,1
60172018-03-18,2018-03-18T00:00:00Z,6017,1
60172018-03-19,2018-03-19T00:00:00Z,6017,1
60172018-10-15,2018-10-15T00:00:00Z,6017,1
60172018-10-16,2018-10-16T00:00:00Z,6017,1
60172018-10-17,2018-10-17T00:00:00Z,6017,1
60172019-01-17,2019-01-17T00:00:00Z,6017,1
60172019-01-18,2019-01-18T00:00:00Z,6017,1
60172019-01-30,2019-01-30T00:00:00Z,6017,1
60172019-01-31,2019-01-31T00:00:00Z,6017,1
60172019-02-05,2019-02-05T00:00:00Z,6017,1
60172019-02-06,2019-02-06T00:00:00Z,6017,1
60172019-02-07,2019-02-07T00:00:00Z,6017,1
60172019-02-08,2019-02-08T00:00:00Z,6017,1
60172019-02-09,2019-02-09T00:00:00Z,6017,1
60172019-02-10,2019-02-10T00:00:00Z,6017,1
