fipdate,fips_wd,date_wd,exposed_wd
60652019-10-31,6065,2019-10-31,1
60952019-10-06,6095,2019-10-06,1
60952019-10-07,6095,2019-10-07,1
61032018-06-09,6103,2018-06-09,1
61032018-06-10,6103,2018-06-10,1
61032018-06-11,6103,2018-06-11,1
61032018-06-12,6103,2018-06-12,1
60432019-10-06,6043,2019-10-06,1
60432019-10-07,6043,2019-10-07,1
60432019-10-08,6043,2019-10-08,1
60432019-10-09,6043,2019-10-09,1
60432019-10-10,6043,2019-10-10,1
60432019-10-11,6043,2019-10-11,1
60432019-10-12,6043,2019-10-12,1
60432019-10-13,6043,2019-10-13,1
60432019-10-14,6043,2019-10-14,1
60432019-10-15,6043,2019-10-15,1
60432019-10-16,6043,2019-10-16,1
60432019-10-17,6043,2019-10-17,1
60432019-10-18,6043,2019-10-18,1
60432019-10-19,6043,2019-10-19,1
60432019-10-20,6043,2019-10-20,1
60072018-11-08,6007,2018-11-08,1
60072018-11-09,6007,2018-11-09,1
60072018-11-10,6007,2018-11-10,1
60072018-11-11,6007,2018-11-11,1
60072018-11-12,6007,2018-11-12,1
60072018-11-13,6007,2018-11-13,1
60072018-11-14,6007,2018-11-14,1
60072018-11-15,6007,2018-11-15,1
60072018-11-16,6007,2018-11-16,1
60072018-11-17,6007,2018-11-17,1
60072018-11-18,6007,2018-11-18,1
60072018-11-19,6007,2018-11-19,1
60072018-11-20,6007,2018-11-20,1
60072018-11-21,6007,2018-11-21,1
60072018-11-22,6007,2018-11-22,1
60072018-11-23,6007,2018-11-23,1
60072018-11-24,6007,2018-11-24,1
60072018-11-25,6007,2018-11-25,1
60072018-11-26,6007,2018-11-26,1
60072018-11-27,6007,2018-11-27,1
60072018-11-28,6007,2018-11-28,1
60072018-11-29,6007,2018-11-29,1
60072018-11-30,6007,2018-11-30,1
60072018-12-01,6007,2018-12-01,1
60072018-12-02,6007,2018-12-02,1
60072018-12-03,6007,2018-12-03,1
60072018-12-04,6007,2018-12-04,1
60072018-12-05,6007,2018-12-05,1
60072018-12-06,6007,2018-12-06,1
60072018-12-07,6007,2018-12-07,1
60072018-12-08,6007,2018-12-08,1
60072018-12-09,6007,2018-12-09,1
60072018-12-10,6007,2018-12-10,1
60072018-12-11,6007,2018-12-11,1
60072018-12-12,6007,2018-12-12,1
60072018-12-13,6007,2018-12-13,1
60072018-12-14,6007,2018-12-14,1
60072018-12-15,6007,2018-12-15,1
60072018-12-16,6007,2018-12-16,1
60072018-12-17,6007,2018-12-17,1
60072018-12-18,6007,2018-12-18,1
